open,low,high,close,volume,weighted_sentiment,returns,volatility,rsi,ma_7,ma_30,regime
26347.09,26212.63,26820.3,26508.32,8160.84833962,0.2407098440187317,0.006145429301373406,0.02323051321495633,50.197324053842614,26755.741428571426,26988.34766666667,1
26505.71,26283.5,26780.4,26482.81,10536.83247431,-0.0205287322402,-0.0009623393711860606,0.023213889761130216,48.38941630309097,26646.044285714284,26950.307666666668,1
26482.8,25385.52,26534.95,25856.1,16967.73205546,-0.1619684187141624,-0.02366478481701917,0.02346466234673865,43.410020722918546,26471.544285714284,26912.625666666667,1
25856.1,25648.0,26219.1,25937.02,8653.83803604,-0.220042370557785,0.0031296289850364367,0.02312097480038763,33.73319951924546,26302.255714285715,26883.565,1
25936.98,25616.98,26108.64,25905.82,10491.06768405,0.6003919436651117,-0.001202913827417329,0.02310724712343671,35.31699013467812,26325.73,26854.109666666667,0
25905.99,25710.78,26435.81,25930.23,14396.74678337,0.1533762115240096,0.0009422593069818852,0.023022920645191087,35.82267449311769,26138.101428571426,26820.784666666666,0
25929.35,24821.0,26090.0,25123.34,14480.51749351,0.3277526714972087,-0.031117734011614995,0.023693685397937165,34.02486343371022,25963.37714285714,26752.525,1
25123.41,24750.0,25749.99,25569.99,18601.18891862,0.0520506360951591,0.017778289033225647,0.024020736976107696,40.50082353420728,25829.329999999998,26703.602000000003,1
25569.99,25143.24,26486.56,26329.6,16632.7425402,0.5371630834681647,0.02970709022569018,0.02468137046725259,43.38414331949957,25807.442857142858,26667.663,1
26329.6,26165.98,26783.2,26506.56,7209.4251028,0.1583182346820831,0.006720952843947581,0.02375610372644393,45.90070494321692,25900.365714285716,26657.19866666667,1
26507.97,26245.27,26693.11,26336.46,5233.68378154,0.5878835928440094,-0.006417279345188542,0.0237678343266497,44.460537375401216,25957.428571428572,26638.738333333335,1
26336.46,26250.0,27040.64,26837.78,9643.06748389,0.2159001160751689,0.019035208224643663,0.02402063315266933,58.8245427059956,26090.565714285716,26629.544,1
